idx,season,wk,is_playoffs,tm_away_id,tm_home_id,pts_away,pts_home,tm_winner_id
1,2019,1,FALSE,3,9,161.12,112.82,3
2,2019,1,FALSE,7,6,116.82,101.22,7
3,2019,1,FALSE,2,1,98,109.54,1
4,2019,1,FALSE,5,8,132.76,93.78,5
5,2019,1,FALSE,4,10,124.86,99.2,4
6,2019,2,FALSE,7,3,142.64,79.86,7
7,2019,2,FALSE,9,2,72.16,106.66,2
8,2019,2,FALSE,6,5,153.32,140.78,6
9,2019,2,FALSE,1,4,97.42,85.6,1
10,2019,2,FALSE,8,10,83.62,107.3,10
11,2019,3,FALSE,3,2,169.84,90.04,3
12,2019,3,FALSE,5,7,122.88,94.42,5
13,2019,3,FALSE,4,9,105.36,125.2,9
14,2019,3,FALSE,10,6,152.54,102.66,10
15,2019,3,FALSE,8,1,99.48,83.22,8
16,2019,4,FALSE,5,3,116.18,117.9,3
17,2019,4,FALSE,2,4,126.62,86.28,2
18,2019,4,FALSE,7,10,122.9,78,7
19,2019,4,FALSE,9,8,86.48,65.22,9
20,2019,4,FALSE,6,1,113.6,112.48,6
21,2019,5,FALSE,3,4,180.24,104.4,3
22,2019,5,FALSE,10,5,129.72,122.24,10
23,2019,5,FALSE,8,2,74.56,129.52,2
24,2019,5,FALSE,1,7,117.94,139.26,7
25,2019,5,FALSE,6,9,106.94,98.84,6
26,2019,6,FALSE,10,3,0,0,NA
27,2019,6,FALSE,4,8,0,0,NA
28,2019,6,FALSE,5,1,0,0,NA
29,2019,6,FALSE,2,6,0,0,NA
30,2019,6,FALSE,7,9,0,0,NA
31,2019,7,FALSE,3,8,0,0,NA
32,2019,7,FALSE,1,10,0,0,NA
33,2019,7,FALSE,6,4,0,0,NA
34,2019,7,FALSE,9,5,0,0,NA
35,2019,7,FALSE,7,2,0,0,NA
36,2019,8,FALSE,1,3,0,0,NA
37,2019,8,FALSE,8,6,0,0,NA
38,2019,8,FALSE,10,9,0,0,NA
39,2019,8,FALSE,4,7,0,0,NA
40,2019,8,FALSE,5,2,0,0,NA
41,2019,9,FALSE,3,6,0,0,NA
42,2019,9,FALSE,9,1,0,0,NA
43,2019,9,FALSE,7,8,0,0,NA
44,2019,9,FALSE,2,10,0,0,NA
45,2019,9,FALSE,5,4,0,0,NA
46,2019,10,FALSE,9,3,0,0,NA
47,2019,10,FALSE,6,7,0,0,NA
48,2019,10,FALSE,1,2,0,0,NA
49,2019,10,FALSE,8,5,0,0,NA
50,2019,10,FALSE,10,4,0,0,NA
51,2019,11,FALSE,3,7,0,0,NA
52,2019,11,FALSE,2,9,0,0,NA
53,2019,11,FALSE,5,6,0,0,NA
54,2019,11,FALSE,4,1,0,0,NA
55,2019,11,FALSE,10,8,0,0,NA
56,2019,12,FALSE,2,3,0,0,NA
57,2019,12,FALSE,7,5,0,0,NA
58,2019,12,FALSE,9,4,0,0,NA
59,2019,12,FALSE,6,10,0,0,NA
60,2019,12,FALSE,1,8,0,0,NA
