idx,season,wk,is_playoffs,tm_away_id,tm_home_id,pts_away,pts_home,tm_winner_id
1,2019,1,FALSE,3,9,161.12,112.82,3
2,2019,1,FALSE,7,6,116.82,101.22,7
3,2019,1,FALSE,2,1,98,109.54,1
4,2019,1,FALSE,5,8,132.76,93.78,5
5,2019,1,FALSE,4,10,124.86,99.2,4
6,2019,2,FALSE,7,3,142.64,79.86,7
7,2019,2,FALSE,9,2,72.16,106.66,2
8,2019,2,FALSE,6,5,153.32,140.78,6
9,2019,2,FALSE,1,4,97.42,85.6,1
10,2019,2,FALSE,8,10,83.62,107.3,10
11,2019,3,FALSE,3,2,169.84,90.04,3
12,2019,3,FALSE,5,7,122.88,94.42,5
13,2019,3,FALSE,4,9,105.36,125.2,9
14,2019,3,FALSE,10,6,152.54,102.66,10
15,2019,3,FALSE,8,1,99.48,83.22,8
16,2019,4,FALSE,5,3,116.18,117.9,3
17,2019,4,FALSE,2,4,126.62,86.28,2
18,2019,4,FALSE,7,10,122.9,78,7
19,2019,4,FALSE,9,8,86.48,65.22,9
20,2019,4,FALSE,6,1,113.6,112.48,6
21,2019,5,FALSE,3,4,180.24,104.4,3
22,2019,5,FALSE,10,5,129.72,122.24,10
23,2019,5,FALSE,8,2,74.56,129.52,2
24,2019,5,FALSE,1,7,117.94,139.26,7
25,2019,5,FALSE,6,9,106.94,98.84,6
26,2019,6,FALSE,10,3,111.6,95.2,10
27,2019,6,FALSE,4,8,113.24,72.8,4
28,2019,6,FALSE,5,1,91.24,80.12,5
29,2019,6,FALSE,2,6,118.62,115.82,2
30,2019,6,FALSE,7,9,172.74,110.22,7
31,2019,7,FALSE,3,8,65.22,86.84,8
32,2019,7,FALSE,1,10,96.52,70.74,1
33,2019,7,FALSE,6,4,114.14,109.86,6
34,2019,7,FALSE,9,5,125.86,117.72,9
35,2019,7,FALSE,7,2,119.78,57.56,7
36,2019,8,FALSE,1,3,154.78,116.76,1
37,2019,8,FALSE,8,6,112.52,120.9,6
38,2019,8,FALSE,10,9,112.18,118.7,9
39,2019,8,FALSE,4,7,106.4,115.56,7
40,2019,8,FALSE,5,2,136.94,82.36,5
41,2019,9,FALSE,3,6,110.04,112.14,6
42,2019,9,FALSE,9,1,56.04,97.36,1
43,2019,9,FALSE,7,8,120.9,123.38,8
44,2019,9,FALSE,2,10,123.48,155.32,10
45,2019,9,FALSE,5,4,109,94.28,5
46,2019,10,FALSE,9,3,98.62,111.54,3
47,2019,10,FALSE,6,7,123.34,76.22,6
48,2019,10,FALSE,1,2,81.22,121.28,2
49,2019,10,FALSE,8,5,149.88,120.02,8
50,2019,10,FALSE,10,4,111.68,100.68,10
51,2019,11,FALSE,3,7,111.26,126.14,7
52,2019,11,FALSE,2,9,111.38,110.48,2
53,2019,11,FALSE,5,6,111.48,119.68,6
54,2019,11,FALSE,4,1,70.14,108.52,1
55,2019,11,FALSE,10,8,82.86,82.02,10
56,2019,12,FALSE,2,3,134.48,131.62,2
57,2019,12,FALSE,7,5,109.74,83.16,7
58,2019,12,FALSE,9,4,94.06,124.84,4
59,2019,12,FALSE,6,10,66.58,67.1,10
60,2019,12,FALSE,1,8,73.26,93.74,8
61,2019,13,TRUE,2,7,0,0,NA
62,2019,13,TRUE,10,6,0,0,NA
63,2019,13,TRUE,3,1,0,0,NA
64,2019,13,TRUE,8,5,0,0,NA
65,2019,13,TRUE,4,9,0,0,NA
